canonical_precursor,n_rows,co2_min,co2_max,co2_range,ch4_min,ch4_max,ch4_range
CC(NCc1ccncc1)C(=O)[O-].[Cl][Zn],2,0.163621947,0.168288641,0.004666693999999999,5.3953832274,5.5240917528,0.12870852540000044
CC(NCc1ccncc1)C(=O)[O-].[Zn],5,2.952896549,5.987768053,3.034871504,7.811741779,8.2149820825,0.4032403035000005
CC(NNC(C)c1ccncc1)c1ccncc1.O=C([O-])CCCC(=O)[O-].[Cu][Cu],2,0.209266386,0.249262714,0.039996328,3.6067630064,3.7063775093,0.09961450290000018
CC(O)(P(O)(O)=O)P(O)(=O)O.CC(O)(P(O)(O)=O)P(O)(=O)O.CC(O)P(O)(=O)O.CC(O)P(O)(=O)O.[Sr],2,1.99623411,2.079805464,0.08357135400000004,1.7889007991,1.7928931809000002,0.0039923818000000555
CC(O)(P(O)(O)=O)P(O)(O)=O.[U],2,0.111318072,0.15362274,0.042304668000000004,2.8317221530000003,2.9297473464,0.09802519339999982
CC(O)C(=O)[O-].O=C([O-])c1ccc(C(=O)[O-])cc1.[Zn],5,0.693093775,1.098537767,0.40544399200000003,7.1958092657,8.4052103059,1.2094010402000004
CC(O)C(=O)[O-].O=C([O-])c1ccc(c2ccncc2)cc1.[Co],4,0.204781585,0.23144744,0.026665855000000016,5.2179830885000005,5.3612046675,0.14322157899999954
CC(Oc1cc(C(=O)[O-])cc(C(=O)[O-])c1)C(=O)[O-].[Cd].c1cn(c2ccc(n3ccnc3)cc2)cn1,2,2.459713733,2.510661659,0.05094792600000009,4.1962332367,4.2419081235,0.04567488679999965
CC(Oc1cc(OC(C)C(=O)[O-])cc(C(=O)[O-])c1)C(=O)[O-].[Eu].[OH2][Eu],2,1.357105695,1.373361363,0.01625566799999989,2.2358859879,2.2937926174000003,0.05790662950000014
CC(Oc1cc(OC(C)C(=O)[O-])cc(C(=O)[O-])c1)C(=O)[O-].[OH2][Sm].[Sm],2,1.396715903,1.424471511,0.027755607999999876,2.2547037374000003,2.2938288185,0.0391250810999999
CC(Oc1cc(OC(C)C(=O)[O-])cc(C(=O)[O-])c1)C(=O)[O-].[OH2][Tb].[Tb],2,1.299980363,1.350737293,0.05075692999999992,2.1587098939,2.2163359726,0.05762607870000025
CC1(C(=O)[O-])CCC(C(=O)[O-])C1(C)C.[In],2,2.405547409,3.447116399,1.04156899,5.0998779932,7.1293797734,2.0295017802000004
CC1(C)c2cc(C(=O)[O-])ccc2-c2ccc(C(=O)[O-])cc21.[Sm].[Sm][Sm],2,2.271759039,3.985650973,1.7138919339999998,2.8292380016000003,5.5921115395,2.7628735379
CC1=N=C(CC2=N=C(C)N=N2)N=N1.CC1=NN=C(CC2=N=C(C)N=N2)N1.[Zn],4,0.629024701,0.880262046,0.25123734500000006,2.2853825383,3.0407186668,0.7553361285000002
CC1=NC(C(=O)[O-])=C(C(=O)[O-])N1.CC1=NC(C(=O)[O-])C(C(=O)[O-])=N1.O=C([O-])C1=NCN=C1C(=O)[O-].O=C([O-])C1N=CN=C1C(=O)[O-].[Eu].[Zn],2,2.642900807,2.678527638,0.03562683099999964,2.6201908373,2.6557875352,0.035596697899999974
CC1=NC=CN1.CC1=N[CH]C=N1.[Zn],9,0.101279917,0.333689094,0.23240917700000002,6.838365634500001,8.4718688382,1.6335032037000001
CC1=NC=CN1.[Zn],8,0.183413482,0.266347148,0.08293366599999999,7.4062817965,8.1663620788,0.7600802823000006
CC1=NN=C(C)C1C(=O)[O-].CC1=NNC(C)=C1C(=O)[O-].[Cu],5,0.426929832,2.621505593,2.1945757610000003,4.7244083114,13.9958486673,9.271440355900001
