application,feature_group,model,split_type,test_subset,n_seeds,accuracy_mean,accuracy_std,precision_mean,precision_std,recall_mean,recall_std,f1_mean,f1_std,roc_auc_mean,roc_auc_std,pr_auc_mean,pr_auc_std,enrichment_top10_mean,enrichment_top10_std,enrichment_top25_mean,enrichment_top25_std,train_time_sec_mean,train_time_sec_std,inference_time_sec_per_sample_mean,inference_time_sec_per_sample_std,peak_rss_delta_mb_mean,peak_rss_delta_mb_std,model_size_kb_mean,model_size_kb_std,validation_auc_mean,validation_f1_at_selected_threshold_mean,selected_probability_threshold_mean,label_cutoff_value_mean,n_train_mean,n_valid_mean,n_test_mean,train_positive_rate_mean,valid_positive_rate_mean,test_positive_rate_mean
ch4_storage,precursor_only,logistic_regression,random_group_aware,test,1,0.7906779661016949,0.0,0.5251256281407035,0.0,0.7827715355805244,0.0,0.6285714285714286,0.0,0.8288926902707869,0.0,0.5855271746072422,0.0,3.108614232209738,0.0,2.3970037453183517,0.0,3.496273892999966,0.0,6.413507627176857e-06,0.0,32.38671875,0.0,14.0791015625,0.0,0.812316384180791,0.6264044943820225,0.285,8.1806480536,5510.0,1180.0,1180.0,0.2500907441016334,0.25,0.22627118644067798
ch4_storage,precursor_only,logistic_regression,scaffold,test,3,0.7564971751412429,0.02856740987592431,0.5308536722651928,0.031888874483832035,0.6239283562581054,0.0179122852337132,0.5735467771647408,0.026172547380562607,0.7788774769796504,0.019095246409843752,0.5243732446764297,0.02336778408263706,2.322523460874715,0.12791199905946815,2.11371871457893,0.1829959084393309,3.4894838059999906,0.35722946578816633,5.522979378516066e-06,1.0970296942333387e-06,17.908854166666668,16.102533031410594,14.0791015625,0.0,0.7816584516874069,0.5365933605693548,0.35333333333333333,8.23058714815,5510.0,1180.0,1180.0,0.2500907441016334,0.18983050847457628,0.2621468926553672
ch4_storage,precursor_only,random_forest,metal_element_holdout,test,1,0.8061578490893322,0.0,0.6860254083484574,0.0,0.5797546012269938,0.0,0.628428927680798,0.0,0.839821292126913,0.0,0.7053830447159136,0.0,3.0621730008233077,0.0,2.3599164283208047,0.0,4.693889464999984,0.0,4.587312445794749e-05,0.0,0.00390625,0.0,15210.3251953125,0.0,0.8379508509654991,0.6268115942028986,0.33,8.0755567352,4360.0,1204.0,2306.0,0.25,0.22009966777408638,0.28274067649609713
ch4_storage,precursor_only,random_forest,metal_element_holdout,test_fully_unseen,1,0.7844690966719493,0.0,0.7072691552062869,0.0,0.5815831987075929,0.0,0.6382978723404256,0.0,0.8237034716956251,0.0,0.7236238585417148,0.0,2.7362469177791007,0.0,2.2903928345023616,0.0,4.334658587999911,0.0,3.7628216059123934e-05,0.0,0.00390625,0.0,15210.3251953125,0.0,0.8379508509654991,0.6268115942028986,0.33,8.0755567352,4360.0,1204.0,1893.0,0.25,0.22009966777408638,0.3269941891178024
ch4_storage,precursor_only,random_forest,metal_element_holdout,test_partial_unseen,1,0.9055690072639225,0.0,0.42857142857142855,0.0,0.5454545454545454,0.0,0.48,0.0,0.8784290271132376,0.0,0.5170723932130905,0.0,5.363636363636363,0.0,3.249125874125874,0.0,5.450003452999908,0.0,7.357703874110659e-05,0.0,0.00390625,0.0,15210.3251953125,0.0,0.8379508509654991,0.6268115942028986,0.33,8.0755567352,4360.0,1204.0,413.0,0.25,0.22009966777408638,0.07990314769975787
ch4_storage,precursor_only,random_forest,random_group_aware,test,1,0.809322033898305,0.0,0.5644171779141104,0.0,0.6891385767790262,0.0,0.6205733558178752,0.0,0.8500313819117122,0.0,0.6436977828469514,0.0,3.258426966292135,0.0,2.5767790262172285,0.0,5.137648376000016,0.0,6.265563898307584e-05,0.0,0.00390625,0.0,20051.59765625,0.0,0.8669673465479268,0.6893353941267388,0.33,8.1806480536,5510.0,1180.0,1180.0,0.2500907441016334,0.25,0.22627118644067798
ch4_storage,precursor_only,random_forest,scaffold,test,3,0.7505649717514125,0.04304828943866125,0.5312140799842436,0.04679320998111258,0.623421152059145,0.13103780287633313,0.5654973132628732,0.021764031306854295,0.7891178274452205,0.0049723208092784165,0.586823113937596,0.03362163321114434,2.623262772008292,0.21485818157948952,2.180244871284298,0.08069492886644487,5.498776208333386,0.5536877069486399,4.622669689264497e-05,2.4970117097240473e-05,0.00390625,0.0,13017.3828125,7818.241393343491,0.8300830349522509,0.6011648179227941,0.32,8.23058714815,5510.0,1180.0,1180.0,0.2500907441016334,0.18983050847457628,0.2621468926553672
ch4_storage,precursor_only,xgboost,metal_element_holdout,test,1,0.7983521248915871,0.0,0.6481774960380349,0.0,0.6273006134969326,0.0,0.6375681995323461,0.0,0.8397962552206586,0.0,0.7276647322777053,0.0,3.1693490558521233,0.0,2.3660460813813784,0.0,2.246482130000004,0.0,1.98838334778619e-05,0.0,0.00390625,0.0,588.310546875,0.0,0.8431751964152953,0.6241610738255033,0.305,8.0755567352,4360.0,1204.0,2306.0,0.25,0.22009966777408638,0.28274067649609713
ch4_storage,precursor_only,xgboost,metal_element_holdout,test_fully_unseen,1,0.7728473322768094,0.0,0.6593591905564924,0.0,0.6316639741518578,0.0,0.6452145214521452,0.0,0.8176624321904727,0.0,0.7412479154732486,0.0,2.9293937590340957,0.0,2.16135661847406,0.0,2.7368444949997865,0.0,2.2203238774468063e-05,0.0,0.00390625,0.0,588.310546875,0.0,0.8431751964152953,0.6241610738255033,0.305,8.0755567352,4360.0,1204.0,1893.0,0.25,0.22009966777408638,0.3269941891178024
ch4_storage,precursor_only,xgboost,metal_element_holdout,test_partial_unseen,1,0.9152542372881356,0.0,0.47368421052631576,0.0,0.5454545454545454,0.0,0.5070422535211268,0.0,0.8568181818181818,0.0,0.49616521021044047,0.0,5.363636363636363,0.0,3.0084498834498836,0.0,3.361840239000003,0.0,0.0001244996924937848,0.0,0.00390625,0.0,588.310546875,0.0,0.8431751964152953,0.6241610738255033,0.305,8.0755567352,4360.0,1204.0,413.0,0.25,0.22009966777408638,0.07990314769975787
ch4_storage,precursor_only,xgboost,random_group_aware,test,1,0.8177966101694916,0.0,0.6181818181818182,0.0,0.5093632958801498,0.0,0.5585215605749486,0.0,0.8410721537836741,0.0,0.6371284398296273,0.0,3.183520599250936,0.0,2.6666666666666665,0.0,2.575519045999954,0.0,3.602391101694747e-05,0.0,0.00390625,0.0,610.240234375,0.0,0.8841635545341378,0.6963979416809606,0.405,8.1806480536,5510.0,1180.0,1180.0,0.2500907441016334,0.25,0.22627118644067798
ch4_storage,precursor_only,xgboost,scaffold,test,3,0.7889830508474577,0.01525423728813563,0.6193038640486469,0.04431358052887006,0.5250098540779544,0.08845598411174901,0.5634284915255366,0.03480630255703834,0.8079840964167365,0.009199108620665999,0.6397554758705991,0.03515519532975906,3.0458791573486916,0.1263724088523072,2.244564939905442,0.08067232380990097,2.8519082293333518,0.26096272359172046,3.739125367234539e-05,1.2431495782745209e-05,0.00390625,0.0,464.4847005208333,203.76611862627902,0.8176195786078718,0.5738581109923947,0.39999999999999997,8.23058714815,5510.0,1180.0,1180.0,0.2500907441016334,0.18983050847457628,0.2621468926553672
